frame,t_capture_ms,t_hsv_ms,t_search_ms,t_map_ms,fps,tier_wrist,tier_thumb,tier_index,n_markers
255,0.644,1.096,4.1055,0.0429,164.35,1,1,0,2
256,0.6641,0.9774,2.985,0.0397,168.43,1,1,2,3
257,0.6601,0.9754,3.0601,0.0407,171.81,1,1,1,3
258,0.5608,0.9684,3.1655,0.0394,174.78,1,1,1,3
259,0.5604,0.9582,2.9789,0.0397,178.34,1,1,1,3
260,0.5578,1.0548,3.3896,0.0475,179.39,1,1,1,3
261,0.6713,1.0072,3.7072,0.0861,178.77,1,1,1,3
262,1.2859,1.282,3.9296,0.0492,175.36,1,1,1,3
263,0.5787,1.122,5.723,0.0759,170.67,1,1,0,2
264,0.5579,1.1023,4.7904,0.0426,168.41,1,1,0,2
265,0.6835,1.1445,5.7783,0.1133,164.02,1,1,0,2
266,0.7989,1.0534,4.9522,0.039,161.54,1,1,0,2
267,0.6088,1.152,4.2772,0.1003,160.98,1,1,0,2
268,1.0708,1.2944,4.5697,0.0453,158.5,1,1,0,2
269,0.7885,0.9691,3.5709,0.0464,158.82,1,1,0,2
270,0.6146,1.081,4.0935,0.0603,159.35,1,1,0,2
271,0.7669,1.0559,3.7473,0.0446,160.51,1,1,0,2
272,0.5976,0.9934,3.3114,0.0595,163.73,1,1,0,2
273,0.6335,0.9882,3.3763,0.0708,166.02,1,1,0,2
274,0.549,0.9531,3.4358,0.0422,168.7,1,1,0,2
275,0.6633,1.0102,3.4139,0.0439,170.59,1,1,0,2
276,0.6442,0.9817,3.669,0.0679,171.22,1,1,0,2
277,0.6504,1.0195,4.0135,0.045,170.89,1,1,0,2
278,0.5991,1.0159,3.9203,0.041,171.1,1,1,0,2
279,0.5863,0.9584,3.7458,0.047,171.99,1,1,0,2
280,0.6456,1.0254,5.966,0.1578,167.19,1,1,0,2
281,1.2131,1.1393,5.973,0.0564,161.64,1,1,0,2
282,0.5977,1.0297,6.2705,0.0627,157.62,1,1,0,2
283,0.7459,1.1396,4.117,0.0494,157.64,1,1,2,3
284,0.7573,1.1891,4.8889,0.0348,155.47,1,1,1,3
285,0.5021,0.9312,3.4021,0.0532,159.52,1,1,1,3
286,1.0229,1.2872,5.9287,0.0844,155.14,1,1,1,3
287,0.9094,1.2021,4.276,0.0409,154.45,1,1,1,3
288,0.6809,0.9829,3.225,0.0445,158.38,1,1,1,3
289,0.9714,0.9737,2.9254,0.0406,159.84,1,1,1,3
290,0.6415,0.9567,2.894,0.0434,164.97,1,1,1,3
291,0.5874,0.9672,3.2398,0.0417,168.28,1,1,1,3
292,0.7468,1.1241,2.9931,0.039,170.96,1,1,1,3
293,0.7194,0.9666,2.9858,0.0414,174.17,1,1,1,3
294,0.5823,0.9497,3.0385,0.0412,177.45,1,1,1,3
295,0.6028,0.9733,2.9507,0.0372,180.67,1,1,1,3
296,0.5422,0.9986,3.0245,0.0417,182.99,1,1,1,3
297,0.5996,1.0181,2.9533,0.041,185.22,1,1,1,3
298,0.5398,0.9518,3.0753,0.0403,187.48,1,1,1,3
299,0.595,1.0079,3.8501,0.0551,186.02,1,1,1,3
300,0.6744,1.1981,3.9207,0.0572,183.69,1,1,1,3
301,0.7391,1.1481,3.8852,0.0532,181.57,1,1,1,3
302,0.5939,1.2807,4.7339,0.0456,177.84,1,1,1,3
303,1.1186,1.2612,5.0113,0.0743,172.85,1,1,1,3
304,0.8808,1.3251,6.5383,0.04,166.51,1,1,0,2
305,0.5177,0.9941,5.1289,0.0477,164.33,1,1,2,3
306,1.1589,1.2779,4.473,0.0487,161.69,1,1,1,3
